Age,Conference,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Weight,Real_value
24,West,"Nov 3, 2002",1996,6-6,Kobe Bryant,SG,2002-2003,2003,6,Los Angeles Lakers,212,0.5
25,East,"Apr 12, 2004",2000,6-11,Jamaal Magloire,C,2003-2004,2004,3,New Orleans Hornets,259,0.5
19,West,"Apr 12, 2004",2003,6-8,Carmelo Anthony,F,2003-2004,2004,0,Denver Nuggets,240,0.5
23,East,"Apr 5, 2004",2001,6-7,Richard Jefferson,SF,2003-2004,2004,2,New Jersey Nets,233,0.5
25,West,"Apr 5, 2004",1998,7-0,Dirk Nowitzki,PF,2003-2004,2004,5,Dallas Mavericks,245,0.5
24,East,"Mar 29, 2004",1999,6-7,Metta World Peace,SF,2003-2004,2004,4,Indiana Pacers,260,0.5
25,West,"Mar 29, 2004",1996,6-6,Kobe Bryant,SG,2003-2004,2004,7,Los Angeles Lakers,212,0.5
27,East,"Mar 21, 2004",1998,6-6,Vince Carter,SF,2003-2004,2004,5,Toronto Raptors,220,0.5
31,West,"Mar 21, 2004",1992,7-1,Shaquille O'Neal,C,2003-2004,2004,11,Los Angeles Lakers,325,0.5
28,East,"Mar 14, 2004",1996,7-3,Zydrunas Ilgauskas,C,2003-2004,2004,7,Cleveland Cavaliers,260,0.5
19,West,"Mar 14, 2004",2003,6-8,Carmelo Anthony,F,2003-2004,2004,0,Denver Nuggets,240,0.5
24,East,"Mar 7, 2004",1999,6-10,Lamar Odom,PF,2003-2004,2004,4,Miami Heat,230,0.5
23,West,"Mar 7, 2004",2002,7-6,Yao Ming,C,2003-2004,2004,1,Houston Rockets,310,0.5
29,East,"Feb 29, 2004",1996,6-9,Ben Wallace,FC,2003-2004,2004,7,Detroit Pistons,240,0.5
23,West,"Feb 29, 2004",1999,6-9,Andrei Kirilenko,PF,2003-2004,2004,2,Utah Jazz,235,0.5
22,East,"Feb 22, 2004",2003,6-4,Dwyane Wade,SG,2003-2004,2004,0,Miami Heat,220,0.5
25,West,"Feb 22, 2004",1996,6-6,Kobe Bryant,SG,2003-2004,2004,7,Los Angeles Lakers,212,0.5
26,East,"Feb 8, 2004",2000,6-9,Kenyon Martin,F,2003-2004,2004,3,New Jersey Nets,240,0.5
27,West,"Feb 8, 2004",1997,6-11,Tim Duncan,FC,2003-2004,2004,6,San Antonio Spurs,250,0.5
30,East,"Feb 1, 2004",1994,6-4,Jason Kidd,PG,2003-2004,2004,9,New Jersey Nets,210,0.5
27,West,"Feb 1, 2004",1995,6-11,Kevin Garnett,PF,2003-2004,2004,8,Minnesota Timberwolves,240,0.5
22,East,"Jan 25, 2004",2002,6-9,Carlos Boozer,PF,2003-2004,2004,1,Cleveland Cavaliers,266,0.5
27,West,"Jan 25, 2004",1995,6-11,Kevin Garnett,PF,2003-2004,2004,8,Minnesota Timberwolves,240,0.5
27,East,"Jan 18, 2004",1996,6-2,Stephon Marbury,G,2003-2004,2004,7,New York Knicks,180,0.5
30,West,"Jan 18, 2004",1995,6-7,Michael Finley,G-F,2003-2004,2004,8,Dallas Mavericks,225,0.5
26,East,"Jan 11, 2004",1998,6-7,Paul Pierce,SF,2003-2004,2004,5,Boston Celtics,235,0.5
28,West,"Jan 11, 2004",1996,6-5,Ray Allen,SG,2003-2004,2004,7,Seattle SuperSonics,205,0.5
29,East,"Jan 4, 2004",1996,6-9,Ben Wallace,FC,2003-2004,2004,7,Detroit Pistons,240,0.5
24,West,"Jan 4, 2004",1999,6-9,Elton Brand,PF,2003-2004,2004,4,Los Angeles Clippers,254,0.5
30,East,"Dec 28, 2003",1994,6-4,Jason Kidd,PG,2003-2004,2004,9,New Jersey Nets,210,0.5
34,West,"Dec 28, 2003",1993,6-3,Sam Cassell,G,2003-2004,2004,10,Minnesota Timberwolves,185,0.5
24,East,"Dec 21, 2003",1997,6-8,Tracy McGrady,GF,2003-2004,2004,6,Orlando Magic,210,0.5
27,West,"Dec 21, 2003",1995,6-11,Kevin Garnett,PF,2003-2004,2004,8,Minnesota Timberwolves,240,0.5
26,East,"Dec 14, 2003",1998,6-7,Paul Pierce,SF,2003-2004,2004,5,Boston Celtics,235,0.5
26,West,"Dec 14, 2003",1996,6-10,Peja Stojakovic,F,2003-2004,2004,5,Sacramento Kings,229,0.5
27,East,"Dec 7, 2003",1998,6-6,Vince Carter,SF,2003-2004,2004,5,Toronto Raptors,220,0.5
31,West,"Dec 7, 2003",1992,7-1,Shaquille O'Neal,C,2003-2004,2004,11,Los Angeles Lakers,325,0.5
37,East,"Nov 30, 2003",1991,7-2,Dikembe Mutombo,C,2003-2004,2004,12,New York Knicks,260,0.5
30,West,"Nov 30, 2003",1994,6-4,Voshon Lenard,SG,2003-2004,2004,8,Denver Nuggets,205,0.5
27,East,"Nov 23, 2003",1997,6-3,Chauncey Billups,G,2003-2004,2004,6,Detroit Pistons,210,0.5
27,West,"Nov 23, 2003",1995,6-11,Kevin Garnett,PF,2003-2004,2004,8,Minnesota Timberwolves,240,0.5
28,East,"Nov 16, 2003",1996,6-0,Allen Iverson,G,2003-2004,2004,7,Philadelphia Sixers,165,0.5
23,West,"Nov 16, 2003",2000,6-6,Quentin Richardson,GF,2003-2004,2004,3,Los Angeles Clippers,223,0.5
24,East,"Nov 9, 2003",1999,6-7,Metta World Peace,SF,2003-2004,2004,4,Indiana Pacers,260,0.5
23,West,"Nov 9, 2003",1999,6-9,Andrei Kirilenko,PF,2003-2004,2004,2,Utah Jazz,235,0.5
24,East,"Nov 2, 2003",1999,6-3,Baron Davis,G,2003-2004,2004,4,New Orleans Hornets,215,0.5
24,West,"Nov 2, 2003",1998,6-10,Rashard Lewis,F,2003-2004,2004,5,Seattle SuperSonics,235,0.5
31,East,"Apr 17, 2005",1994,6-4,Jason Kidd,PG,2004-2005,2005,10,New Jersey Nets,210,0.5
25,West,"Apr 17, 2005",1997,6-8,Tracy McGrady,GF,2004-2005,2005,7,Houston Rockets,210,0.5
28,East,"Apr 10, 2005",1998,6-6,Vince Carter,SF,2004-2005,2005,6,New Jersey Nets,220,0.5
25,West,"Apr 10, 2005",1999,6-3,Baron Davis,G,2004-2005,2005,5,Golden State Warriors,215,0.5
39,East,"Apr 3, 2005",1987,6-7,Reggie Miller,SG,2004-2005,2005,17,Indiana Pacers,185,0.5
25,West,"Apr 3, 2005",1999,6-3,Baron Davis,G,2004-2005,2005,5,Golden State Warriors,215,0.5
29,East,"Mar 27, 2005",1996,6-0,Allen Iverson,G,2004-2005,2005,8,Philadelphia Sixers,165,0.5
29,West,"Mar 27, 2005",1996,6-5,Ray Allen,SG,2004-2005,2005,8,Seattle SuperSonics,205,0.5
28,East,"Mar 20, 2005",1997,6-3,Chauncey Billups,G,2004-2005,2005,7,Detroit Pistons,210,0.5
24,West,"Mar 20, 2005",2001,6-6,Jason Richardson,GF,2004-2005,2005,3,Golden State Warriors,225,0.5
27,East,"Mar 13, 2005",1998,6-7,Paul Pierce,SF,2004-2005,2005,6,Boston Celtics,235,0.5
25,West,"Mar 13, 2005",1997,6-8,Tracy McGrady,GF,2004-2005,2005,7,Houston Rockets,210,0.5
29,East,"Mar 6, 2005",1996,6-0,Allen Iverson,G,2004-2005,2005,8,Philadelphia Sixers,165,0.5
30,West,"Mar 6, 2005",1996,6-11,Marcus Camby,C,2004-2005,2005,8,Denver Nuggets,240,0.5
32,East,"Feb 27, 2005",1994,6-8,Jalen Rose,G,2004-2005,2005,10,Toronto Raptors,210,0.5
26,West,"Feb 27, 2005",1998,6-2,Mike Bibby,G,2004-2005,2005,6,Sacramento Kings,195,0.5
29,East,"Feb 13, 2005",1996,6-0,Allen Iverson,G,2004-2005,2005,8,Philadelphia Sixers,165,0.5
31,West,"Feb 13, 2005",1996,6-3,Steve Nash,G,2004-2005,2005,8,Phoenix Suns,178,0.5
27,East,"Feb 6, 2005",1998,6-7,Paul Pierce,SF,2004-2005,2005,6,Boston Celtics,235,0.5
25,West,"Feb 6, 2005",1997,6-8,Tracy McGrady,GF,2004-2005,2005,7,Houston Rockets,210,0.5
28,East,"Jan 30, 2005",1998,6-6,Vince Carter,SF,2004-2005,2005,6,New Jersey Nets,220,0.5
28,West,"Jan 30, 2005",1998,7-0,Brad Miller,C,2004-2005,2005,6,Sacramento Kings,261,0.5
20,East,"Jan 23, 2005",2003,6-8,LeBron James,F,2004-2005,2005,1,Cleveland Cavaliers,250,0.5
27,West,"Jan 23, 2005",1999,6-2,Jason Terry,G,2004-2005,2005,5,Dallas Mavericks,185,0.5
26,East,"Jan 16, 2005",1998,6-5,Larry Hughes,G,2004-2005,2005,6,Washington Wizards,184,0.5
25,West,"Jan 16, 2005",1997,6-8,Tracy McGrady,GF,2004-2005,2005,7,Houston Rockets,210,0.5
20,East,"Jan 9, 2005",2003,6-11,Chris Bosh,PF,2004-2005,2005,1,Toronto Raptors,235,0.5
33,West,"Jan 9, 2005",1993,6-7,Bruce Bowen,F,2004-2005,2005,9,San Antonio Spurs,200,0.5
28,East,"Jan 2, 2005",1996,6-2,Stephon Marbury,G,2004-2005,2005,8,New York Knicks,180,0.5
24,West,"Jan 2, 2005",2001,7-0,Pau Gasol,FC,2004-2005,2005,3,Memphis Grizzlies,250,0.5
29,East,"Dec 26, 2004",1996,6-0,Allen Iverson,G,2004-2005,2005,8,Philadelphia Sixers,165,0.5
31,West,"Dec 26, 2004",1996,6-3,Steve Nash,G,2004-2005,2005,8,Phoenix Suns,178,0.5
32,East,"Dec 19, 2004",1992,7-1,Shaquille O'Neal,C,2004-2005,2005,12,Miami Heat,325,0.5
26,West,"Dec 19, 2004",1999,6-7,Shawn Marion,F,2004-2005,2005,5,Phoenix Suns,228,0.5
24,East,"Dec 12, 2004",2001,6-7,Richard Jefferson,SF,2004-2005,2005,3,New Jersey Nets,233,0.5
22,West,"Dec 12, 2004",2002,6-10,Amar'e Stoudemire,FC,2004-2005,2005,2,Phoenix Suns,245,0.5
23,East,"Dec 5, 2004",2001,6-3,Gilbert Arenas,G,2004-2005,2005,3,Washington Wizards,191,0.5
26,West,"Dec 5, 2004",1998,7-0,Dirk Nowitzki,PF,2004-2005,2005,6,Dallas Mavericks,245,0.5
20,East,"Nov 28, 2004",2003,6-8,LeBron James,F,2004-2005,2005,1,Cleveland Cavaliers,250,0.5
26,West,"Nov 28, 2004",1999,6-7,Shawn Marion,F,2004-2005,2005,5,Phoenix Suns,228,0.5
32,East,"Nov 21, 2004",1994,6-8,Grant Hill,SF,2004-2005,2005,10,Orlando Magic,225,0.5
22,West,"Nov 21, 2004",2002,6-10,Amar'e Stoudemire,FC,2004-2005,2005,2,Phoenix Suns,245,0.5
20,East,"Nov 14, 2004",2003,6-8,LeBron James,F,2004-2005,2005,1,Cleveland Cavaliers,250,0.5
29,West,"Nov 14, 2004",1996,6-5,Ray Allen,SG,2004-2005,2005,8,Seattle SuperSonics,205,0.5
23,East,"Nov 7, 2004",2003,6-4,Dwyane Wade,SG,2004-2005,2005,1,Miami Heat,220,0.5
28,West,"Nov 7, 2004",1995,6-11,Kevin Garnett,PF,2004-2005,2005,9,Minnesota Timberwolves,240,0.5
22,East,"Apr 16, 2006",2004,6-3,Ben Gordon,SG,2005-2006,2006,1,Chicago Bulls,200,0.5
27,West,"Apr 16, 2006",1996,6-6,Kobe Bryant,SG,2005-2006,2006,9,Los Angeles Lakers,212,0.5
25,East,"Apr 9, 2006",2000,6-5,Jamal Crawford,SG,2005-2006,2006,5,New York Knicks,195,0.5
23,West,"Apr 9, 2006",2002,6-10,Chris Wilcox,FC,2005-2006,2006,3,Seattle SuperSonics,235,0.5
21,East,"Apr 2, 2006",2003,6-8,LeBron James,F,2005-2006,2006,2,Cleveland Cavaliers,250,0.5
25,West,"Apr 2, 2006",2002,7-6,Yao Ming,C,2005-2006,2006,3,Houston Rockets,310,0.5
21,East,"Mar 26, 2006",2003,6-8,LeBron James,F,2005-2006,2006,2,Cleveland Cavaliers,250,0.5
25,West,"Mar 26, 2006",2001,7-0,Pau Gasol,FC,2005-2006,2006,4,Memphis Grizzlies,250,0.5
21,East,"Mar 19, 2006",2003,6-8,LeBron James,F,2005-2006,2006,2,Cleveland Cavaliers,250,0.5
21,West,"Mar 19, 2006",2003,6-8,Carmelo Anthony,F,2005-2006,2006,2,Denver Nuggets,240,0.5
28,East,"Mar 12, 2006",1998,6-7,Paul Pierce,SF,2005-2006,2006,7,Boston Celtics,235,0.5
27,West,"Mar 12, 2006",1998,6-2,Mike Bibby,G,2005-2006,2006,7,Sacramento Kings,195,0.5
30,East,"Mar 5, 2006",1996,6-0,Allen Iverson,G,2005-2006,2006,9,Philadelphia Sixers,165,0.5
25,West,"Mar 5, 2006",2001,7-0,Pau Gasol,FC,2005-2006,2006,4,Memphis Grizzlies,250,0.5
24,East,"Feb 27, 2006",2001,6-3,Gilbert Arenas,G,2005-2006,2006,4,Washington Wizards,191,0.5
25,West,"Feb 27, 2006",2002,7-6,Yao Ming,C,2005-2006,2006,3,Houston Rockets,310,0.5
24,East,"Feb 13, 2006",2001,6-3,Gilbert Arenas,G,2005-2006,2006,4,Washington Wizards,191,0.5
23,West,"Feb 13, 2006",2001,6-2,Tony Parker,G,2005-2006,2006,4,San Antonio Spurs,185,0.5
21,East,"Feb 6, 2006",2003,6-11,Chris Bosh,PF,2005-2006,2006,2,Toronto Raptors,235,0.5
20,West,"Feb 6, 2006",2005,6-0,Chris Paul,PG,2005-2006,2006,0,New Orleans Hornets,175,0.5
21,East,"Jan 30, 2006",2003,6-8,LeBron James,F,2005-2006,2006,2,Cleveland Cavaliers,250,0.5
26,West,"Jan 30, 2006",1999,6-9,Elton Brand,PF,2005-2006,2006,6,Los Angeles Clippers,254,0.5
28,East,"Jan 22, 2006",1999,6-7,Richard Hamilton,SG,2005-2006,2006,6,Detroit Pistons,193,0.5
27,West,"Jan 22, 2006",1996,6-6,Kobe Bryant,SG,2005-2006,2006,9,Los Angeles Lakers,212,0.5
30,East,"Jan 15, 2006",1996,6-0,Allen Iverson,G,2005-2006,2006,9,Philadelphia Sixers,165,0.5
29,West,"Jan 15, 2006",1995,6-11,Kevin Garnett,PF,2005-2006,2006,10,Minnesota Timberwolves,240,0.5
30,East,"Jan 8, 2006",1998,6-2,Mike James,G,2005-2006,2006,4,Toronto Raptors,188,0.5
32,West,"Jan 8, 2006",1996,6-3,Steve Nash,G,2005-2006,2006,9,Phoenix Suns,178,0.5
24,East,"Jan 1, 2006",2003,6-4,Dwyane Wade,SG,2005-2006,2006,2,Miami Heat,220,0.5
27,West,"Jan 1, 2006",1999,6-7,Shawn Marion,F,2005-2006,2006,6,Phoenix Suns,228,0.5
29,East,"Dec 26, 2005",1998,6-6,Vince Carter,SF,2005-2006,2006,7,New Jersey Nets,220,0.5
27,West,"Dec 26, 2005",1996,6-6,Kobe Bryant,SG,2005-2006,2006,9,Los Angeles Lakers,212,0.5
24,East,"Dec 19, 2005",2001,6-7,Joe Johnson,SG,2005-2006,2006,4,Atlanta Hawks,240,0.5
27,West,"Dec 19, 2005",1996,6-6,Kobe Bryant,SG,2005-2006,2006,9,Los Angeles Lakers,212,0.5
30,East,"Dec 12, 2005",1996,6-0,Allen Iverson,G,2005-2006,2006,9,Philadelphia Sixers,165,0.5
26,West,"Dec 12, 2005",1999,6-9,Elton Brand,PF,2005-2006,2006,6,Los Angeles Clippers,254,0.5
24,East,"Dec 5, 2005",2003,6-4,Dwyane Wade,SG,2005-2006,2006,2,Miami Heat,220,0.5
26,West,"Dec 5, 2005",1999,6-3,Baron Davis,G,2005-2006,2006,6,Golden State Warriors,215,0.5
23,East,"Nov 28, 2005",2001,6-7,Gerald Wallace,F,2005-2006,2006,4,Charlotte Bobcats,220,0.5
32,West,"Nov 28, 2005",1996,6-3,Steve Nash,G,2005-2006,2006,9,Phoenix Suns,178,0.5
21,East,"Nov 21, 2005",2003,6-8,LeBron James,F,2005-2006,2006,2,Cleveland Cavaliers,250,0.5
26,West,"Nov 21, 2005",1999,6-9,Elton Brand,PF,2005-2006,2006,6,Los Angeles Clippers,254,0.5
24,East,"Nov 14, 2005",2001,6-3,Gilbert Arenas,G,2005-2006,2006,4,Washington Wizards,191,0.5
31,West,"Nov 14, 2005",1996,6-11,Marcus Camby,C,2005-2006,2006,9,Denver Nuggets,240,0.5
22,East,"Nov 7, 2005",2003,6-0,T.J. Ford,PG,2005-2006,2006,2,Milwaukee Bucks,165,0.5
27,West,"Nov 7, 2005",1996,6-6,Kobe Bryant,SG,2005-2006,2006,9,Los Angeles Lakers,212,0.5
23,East,"Apr 15, 2007",2004,6-3,Ben Gordon,SG,2006-2007,2007,2,Chicago Bulls,200,0.5
27,West,"Apr 15, 2007",1997,6-8,Tracy McGrady,GF,2006-2007,2007,9,Houston Rockets,210,0.5
24,East,"Apr 8, 2007",2001,6-7,Gerald Wallace,F,2006-2007,2007,5,Charlotte Bobcats,220,0.5
30,West,"Apr 8, 2007",1997,6-11,Tim Duncan,FC,2006-2007,2007,9,San Antonio Spurs,250,0.5
22,East,"Apr 1, 2007",2003,6-11,Chris Bosh,PF,2006-2007,2007,3,Toronto Raptors,235,0.5
26,West,"Apr 1, 2007",2002,7-6,Yao Ming,C,2006-2007,2007,4,Houston Rockets,310,0.5
24,East,"Mar 25, 2007",2001,6-7,Gerald Wallace,F,2006-2007,2007,5,Charlotte Bobcats,220,0.5
28,West,"Mar 25, 2007",1996,6-6,Kobe Bryant,SG,2006-2007,2007,10,Los Angeles Lakers,212,0.5
33,East,"Mar 18, 2007",1994,6-4,Jason Kidd,PG,2006-2007,2007,12,New Jersey Nets,210,0.5
28,West,"Mar 18, 2007",1996,6-6,Kobe Bryant,SG,2006-2007,2007,10,Los Angeles Lakers,212,0.5
22,East,"Mar 11, 2007",2003,6-8,LeBron James,F,2006-2007,2007,3,Cleveland Cavaliers,250,0.5
29,West,"Mar 11, 2007",1999,6-6,Manu Ginobili,SG,2006-2007,2007,4,San Antonio Spurs,205,0.5
22,East,"Mar 4, 2007",2004,6-10,Al Jefferson,FC,2006-2007,2007,2,Boston Celtics,289,0.5
24,West,"Mar 4, 2007",2004,6-7,Kevin Martin,SG,2006-2007,2007,2,Sacramento Kings,199,0.5
30,East,"Feb 25, 2007",1998,6-6,Vince Carter,SF,2006-2007,2007,8,New Jersey Nets,220,0.5
24,West,"Feb 25, 2007",2002,6-10,Amar'e Stoudemire,FC,2006-2007,2007,4,Phoenix Suns,245,0.5
25,East,"Feb 11, 2007",2003,6-4,Dwyane Wade,SG,2006-2007,2007,3,Miami Heat,220,0.5
22,West,"Feb 11, 2007",2003,6-8,Carmelo Anthony,F,2006-2007,2007,3,Denver Nuggets,240,0.5
25,East,"Feb 4, 2007",2003,6-4,Dwyane Wade,SG,2006-2007,2007,3,Miami Heat,220,0.5
27,West,"Feb 4, 2007",2001,6-11,Mehmet Okur,FC,2006-2007,2007,4,Utah Jazz,249,0.5
23,East,"Jan 28, 2007",2004,6-3,Ben Gordon,SG,2006-2007,2007,2,Chicago Bulls,200,0.5
33,West,"Jan 28, 2007",1996,6-3,Steve Nash,G,2006-2007,2007,10,Phoenix Suns,178,0.5
26,East,"Jan 21, 2007",2002,6-7,Caron Butler,SF,2006-2007,2007,4,Washington Wizards,228,0.5
33,West,"Jan 21, 2007",1996,6-3,Steve Nash,G,2006-2007,2007,10,Phoenix Suns,178,0.5
25,East,"Jan 14, 2007",2003,6-4,Dwyane Wade,SG,2006-2007,2007,3,Miami Heat,220,0.5
28,West,"Jan 14, 2007",1998,7-0,Dirk Nowitzki,PF,2006-2007,2007,8,Dallas Mavericks,245,0.5
25,East,"Jan 7, 2007",2001,6-3,Gilbert Arenas,G,2006-2007,2007,5,Washington Wizards,191,0.5
30,West,"Jan 7, 2007",1995,6-11,Kevin Garnett,PF,2006-2007,2007,11,Minnesota Timberwolves,240,0.5
27,East,"Dec 31, 2006",2000,6-6,Michael Redd,G,2006-2007,2007,6,Milwaukee Bucks,220,0.5
26,West,"Dec 31, 2006",2003,6-7,Josh Howard,GF,2006-2007,2007,3,Dallas Mavericks,210,0.5
24,East,"Dec 24, 2006",2003,6-1,Mo Williams,G,2006-2007,2007,3,Milwaukee Bucks,198,0.5
26,West,"Dec 24, 2006",2003,6-7,Josh Howard,GF,2006-2007,2007,3,Dallas Mavericks,210,0.5
25,East,"Dec 17, 2006",2001,6-3,Gilbert Arenas,G,2006-2007,2007,5,Washington Wizards,191,0.5
25,West,"Dec 17, 2006",2002,6-9,Carlos Boozer,PF,2006-2007,2007,4,Utah Jazz,266,0.5
25,East,"Dec 10, 2006",2001,6-3,Gilbert Arenas,G,2006-2007,2007,5,Washington Wizards,191,0.5
33,West,"Dec 10, 2006",1996,6-3,Steve Nash,G,2006-2007,2007,10,Phoenix Suns,178,0.5
27,East,"Dec 3, 2006",2000,6-6,Michael Redd,G,2006-2007,2007,6,Milwaukee Bucks,220,0.5
22,West,"Dec 3, 2006",2003,6-8,Carmelo Anthony,F,2006-2007,2007,3,Denver Nuggets,240,0.5
21,East,"Nov 26, 2006",2004,6-11,Dwight Howard,C,2006-2007,2007,2,Orlando Magic,265,0.5
22,West,"Nov 26, 2006",2003,6-8,Carmelo Anthony,F,2006-2007,2007,3,Denver Nuggets,240,0.5
22,East,"Nov 19, 2006",2003,6-8,LeBron James,F,2006-2007,2007,3,Cleveland Cavaliers,250,0.5
28,West,"Nov 19, 2006",1998,7-0,Dirk Nowitzki,PF,2006-2007,2007,8,Dallas Mavericks,245,0.5
25,East,"Nov 12, 2006",2001,6-7,Joe Johnson,SG,2006-2007,2007,5,Atlanta Hawks,240,0.5
26,West,"Nov 12, 2006",2002,7-6,Yao Ming,C,2006-2007,2007,4,Houston Rockets,310,0.5
31,East,"Nov 6, 2006",1996,6-0,Allen Iverson,G,2006-2007,2007,10,Philadelphia Sixers,165,0.5
25,West,"Nov 6, 2006",2002,6-9,Carlos Boozer,PF,2006-2007,2007,4,Utah Jazz,266,0.5
31,East,"Apr 13, 2008",1995,6-11,Kevin Garnett,PF,2007-2008,2008,12,Boston Celtics,240,0.5
32,West,"Apr 13, 2008",1996,6-0,Allen Iverson,G,2007-2008,2008,11,Denver Nuggets,165,0.5
26,East,"Apr 6, 2008",2001,6-7,Joe Johnson,SG,2007-2008,2008,6,Atlanta Hawks,240,0.5
29,West,"Apr 6, 2008",1996,6-6,Kobe Bryant,SG,2007-2008,2008,11,Los Angeles Lakers,212,0.5
27,East,"Mar 30, 2008",2001,6-6,Jason Richardson,GF,2007-2008,2008,6,Charlotte Bobcats,225,0.5
23,West,"Mar 30, 2008",2003,6-8,Carmelo Anthony,F,2007-2008,2008,4,Denver Nuggets,240,0.5
31,East,"Mar 23, 2008",1995,6-11,Kevin Garnett,PF,2007-2008,2008,12,Boston Celtics,240,0.5
22,West,"Mar 23, 2008",2005,6-0,Chris Paul,PG,2007-2008,2008,2,New Orleans Hornets,175,0.5
31,East,"Mar 16, 2008",1998,6-9,Antawn Jamison,F,2007-2008,2008,9,Washington Wizards,235,0.5
25,West,"Mar 16, 2008",2002,6-10,Amar'e Stoudemire,FC,2007-2008,2008,5,Phoenix Suns,245,0.5
27,East,"Mar 9, 2008",2001,6-6,Jason Richardson,GF,2007-2008,2008,6,Charlotte Bobcats,225,0.5
28,West,"Mar 9, 2008",1997,6-8,Tracy McGrady,GF,2007-2008,2008,10,Houston Rockets,210,0.5
31,East,"Mar 2, 2008",1999,6-3,Andre Miller,PG,2007-2008,2008,8,Philadelphia Sixers,200,0.5
29,West,"Mar 2, 2008",1996,6-6,Kobe Bryant,SG,2007-2008,2008,11,Los Angeles Lakers,212,0.5
23,East,"Feb 24, 2008",2003,6-8,LeBron James,F,2007-2008,2008,4,Cleveland Cavaliers,250,0.5
30,West,"Feb 24, 2008",1999,6-6,Manu Ginobili,SG,2007-2008,2008,5,San Antonio Spurs,205,0.5
31,East,"Feb 10, 2008",1999,6-3,Andre Miller,PG,2007-2008,2008,8,Philadelphia Sixers,200,0.5
25,West,"Feb 10, 2008",2002,6-10,Amar'e Stoudemire,FC,2007-2008,2008,5,Phoenix Suns,245,0.5
28,East,"Feb 3, 2008",2000,6-10,Hedo Turkoglu,F,2007-2008,2008,7,Orlando Magic,220,0.5
31,West,"Feb 3, 2008",1998,7-0,Brad Miller,C,2007-2008,2008,9,Sacramento Kings,261,0.5
28,East,"Jan 27, 2008",2000,6-10,Hedo Turkoglu,F,2007-2008,2008,7,Orlando Magic,220,0.5
23,West,"Jan 27, 2008",2004,6-10,Al Jefferson,FC,2007-2008,2008,3,Minnesota Timberwolves,289,0.5
25,East,"Jan 20, 2008",2001,6-7,Gerald Wallace,F,2007-2008,2008,6,Charlotte Bobcats,220,0.5
28,West,"Jan 20, 2008",1999,6-3,Baron Davis,G,2007-2008,2008,8,Golden State Warriors,215,0.5
23,East,"Jan 13, 2008",2003,6-11,Chris Bosh,PF,2007-2008,2008,4,Toronto Raptors,235,0.5
29,West,"Jan 13, 2008",1996,6-6,Kobe Bryant,SG,2007-2008,2008,11,Los Angeles Lakers,212,0.5
23,East,"Jan 6, 2008",2003,6-8,LeBron James,F,2007-2008,2008,4,Cleveland Cavaliers,250,0.5
32,West,"Jan 6, 2008",1996,6-0,Allen Iverson,G,2007-2008,2008,11,Denver Nuggets,165,0.5
30,East,"Dec 30, 2007",1998,6-7,Paul Pierce,SF,2007-2008,2008,9,Boston Celtics,235,0.5
22,West,"Dec 30, 2007",2005,6-0,Chris Paul,PG,2007-2008,2008,2,New Orleans Hornets,175,0.5
26,East,"Dec 23, 2007",2001,6-7,Joe Johnson,SG,2007-2008,2008,6,Atlanta Hawks,240,0.5
23,West,"Dec 23, 2007",2003,6-8,Carmelo Anthony,F,2007-2008,2008,4,Denver Nuggets,240,0.5
30,East,"Dec 16, 2007",1998,6-7,Paul Pierce,SF,2007-2008,2008,9,Boston Celtics,235,0.5
23,West,"Dec 16, 2007",2006,6-6,Brandon Roy,G,2007-2008,2008,1,Portland Trail Blazers,211,0.5
22,East,"Dec 9, 2007",2004,6-9,Josh Smith,PF,2007-2008,2008,3,Atlanta Hawks,225,0.5
23,West,"Dec 9, 2007",2006,6-6,Brandon Roy,G,2007-2008,2008,1,Portland Trail Blazers,211,0.5
22,East,"Dec 2, 2007",2004,6-11,Dwight Howard,C,2007-2008,2008,3,Orlando Magic,265,0.5
29,West,"Dec 2, 2007",1997,6-8,Stephen Jackson,GF,2007-2008,2008,10,Golden State Warriors,220,0.5
23,East,"Nov 25, 2007",2003,6-8,LeBron James,F,2007-2008,2008,4,Cleveland Cavaliers,250,0.5
25,West,"Nov 25, 2007",2001,6-2,Tony Parker,G,2007-2008,2008,6,San Antonio Spurs,185,0.5
22,East,"Nov 18, 2007",2004,6-11,Dwight Howard,C,2007-2008,2008,3,Orlando Magic,265,0.5
32,West,"Nov 18, 2007",1996,6-0,Allen Iverson,G,2007-2008,2008,11,Denver Nuggets,165,0.5
31,East,"Nov 11, 2007",1995,6-11,Kevin Garnett,PF,2007-2008,2008,12,Boston Celtics,240,0.5
27,West,"Nov 11, 2007",2002,7-6,Yao Ming,C,2007-2008,2008,5,Houston Rockets,310,0.5
24,East,"Nov 4, 2007",2005,6-9,Danny Granger,GF,2007-2008,2008,2,Indiana Pacers,222,0.5
28,West,"Nov 4, 2007",1997,6-8,Tracy McGrady,GF,2007-2008,2008,10,Houston Rockets,210,0.5
25,East,"Apr 13, 2009",2004,6-3,Ben Gordon,SG,2008-2009,2009,4,Chicago Bulls,200,0.5
24,West,"Apr 13, 2009",2006,6-6,Brandon Roy,G,2008-2009,2009,2,Portland Trail Blazers,211,0.5
23,East,"Apr 6, 2009",2004,6-11,Dwight Howard,C,2008-2009,2009,4,Orlando Magic,265,0.5
